# RNA-2Di_avg
# Background (precomputed optional): 0.0604678 0.0767413 0.0617212 0.0541858 0.0576060 0.0515999 0.0741515 0.0581637 0.0627326 0.0644474 0.0652446 0.0579265 0.0654927 0.0651079 0.0452686 0.0791425 0.0000001 0.0000001 0.0000001 0.0000001 0.0000001 0.0000001 0.0000001 0.0000001 0.0000001
# Lambda     (precomputed optional): 0.346574
   A       C       D       E       F       G       H       I       K       L       M       N       P       Q       R       S       T       V       W       Y       B       J       O       U       X
N -0.6745 -3.2443 -2.3339 -0.7837  1.2257 -0.2062 -1.4605 -2.6036 -0.8411 -4.3482 -4.1947  5.6881 -5.0200 -2.0183 -2.3516  1.1041 -2.4543 -1.0752 -3.1232  1.1370 -2.6391  1.5083 -3.2951 -1.0897 -1.0000
P -1.3422 -3.1708 -4.2574 -3.9833 -4.8305 -4.0906 -1.7323 -1.2308 -4.9722  0.3907  0.8775 -5.0200  5.6914 -3.7518 -0.8936 -4.4786 -2.6556 -3.7384  0.9990 -3.8035 -2.6335 -3.8208  0.8640 -3.6083 -1.0000
Q -1.6611  0.3949 -2.8446 -1.4103 -3.5302  1.3935 -2.8587  0.8902 -1.1332 -0.8632 -2.4974 -2.0183 -3.7518  5.4472 -3.8680  0.2685  1.5931 -2.8440 -1.7550 -1.5047 -1.5894 -1.4540 -2.8354  1.3682 -1.0000
R -3.8229 -3.7497  1.1451 -1.9746 -0.4136 -3.8984  1.1792 -3.7425 -0.5787 -1.4731 -3.6441 -2.3516 -0.8936 -3.8680  5.6784 -2.6014 -3.2473  1.4578 -3.0258 -1.4371 -2.0558 -2.6216  1.1227 -2.6976 -1.0000
S -3.1154 -1.8700 -1.8819  0.4474 -1.9268 -2.2111 -0.6232 -0.9009  1.1074 -3.3839 -3.1427  1.1041 -4.4786  0.2685 -2.6014  5.3092 -1.7991 -1.3257 -2.9094  1.5594 -1.6118 -1.5373 -2.7718  1.4460 -1.0000
T -2.1836  1.4649 -2.6847 -1.6587 -3.7722  1.3236 -2.5909 -1.7822 -3.1207  1.0185 -1.8327 -2.4543 -2.6556  1.5931 -3.2473 -1.7991  1.3500 -3.2063 -2.1135 -2.1257 -1.1778 -1.7716 -1.8688 -1.2772 -1.0000
V -3.3236 -3.2887  1.3515 -1.6944  1.3451 -2.9122 -1.7358 -3.3561  1.5520 -3.7800 -3.8082 -1.0752 -3.7384 -2.8440  1.4578 -1.3257 -3.2063  1.4266 -3.5566 -1.4578 -1.8599 -1.4915 -1.9491 -1.4934 -1.0000
W  1.1403 -2.5707 -3.6746 -3.2144 -3.8378 -1.8570 -3.3029  1.4117 -3.6882 -2.2714  1.3163 -3.1232  0.9990 -1.7550 -3.0258 -2.9094 -2.1135 -3.5566  1.2168 -3.1375 -2.0359 -1.9194 -1.9003 -1.7352 -1.0000
Y -3.2204 -1.9495 -1.2212  1.5810 -1.9712 -2.2760  1.0606 -2.5777 -1.2015 -2.7727 -2.9482  1.1370 -3.8035 -1.5047 -1.4371  1.5594 -2.1257 -1.4578 -3.1375  1.3345 -1.1345 -1.5826 -1.7382 -0.9311 -1.0000
B -3.5904  1.2379  0.9439  1.5078 -3.7100 -2.4256 -1.7948 -2.6416 -2.6178 -1.9342  0.7222 -2.6391 -2.6335 -1.5894 -2.0558 -1.6118 -1.1778 -1.8599 -2.0359 -1.1345  1.1029 -3.0913 -2.1046 -2.1152 -1.0000
J  1.1492 -3.1853 -2.8425 -2.9470  1.0852  1.3752 -3.3545 -1.6156 -1.5872 -3.8223 -3.3905  1.5083 -3.8208 -1.4540 -2.6216 -1.5373 -1.7716 -1.4915 -1.9194 -1.5826 -3.0913  1.2795 -3.4048 -1.5485 -1.0000
O -3.4181 -2.3155 -2.1011 -1.9803 -3.5589 -3.3472  1.0945 -3.0256 -3.2592  1.0229 -2.0214 -3.2951  0.8640 -2.8354  1.1227 -2.7718 -1.8688 -1.9491 -1.9003 -1.7382 -2.1046 -3.4048  1.0260 -2.9730 -1.0000
U -1.7279 -2.0811 -2.2295 -1.5669 -2.0524 -1.3241 -2.5141  0.9786  1.0058 -3.0720 -2.5832 -1.0897 -3.6083  1.3682 -2.6976  1.4460 -1.2772 -1.4934 -1.7352 -0.9311 -2.1152 -1.5485 -2.9730  1.1996 -1.0000
X -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000 -1.0000
